id_OSM,LATITUD,LONGITUD,coord
node/3932044992,40.4406479,-3.5558478,"(40.440647900000002, -3.5558478)"
node/3932044993,40.4407204,-3.5550549,"(40.440720399999996, -3.5550549)"
node/3932044994,40.4407955,-3.5555241,"(40.4407955, -3.5555241)"
node/3932044995,40.4408644,-3.5547291,"(40.440864400000002, -3.5547290999999999)"
node/3932044998,40.4409451,-3.5552118,"(40.4409451, -3.5552117999999999)"
node/3932044999,40.4410043,-3.5544179,"(40.441004300000003, -3.5544178999999998)"
node/3932045002,40.4410898,-3.5548906,"(40.4410898, -3.5548905999999998)"
node/3932045003,40.44114,-3.5540903,"(40.441139999999997, -3.5540902999999999)"
node/3932045004,40.4412374,-3.5545657,"(40.441237399999999, -3.5545656999999999)"
node/3932045006,40.4412702,-3.5537882,"(40.441270199999998, -3.5537882000000001)"
node/3932045008,40.4413764,-3.5542383,"(40.441376400000003, -3.5542383000000002)"
node/3932045009,40.4413963,-3.5534661,"(40.441396300000001, -3.5534661000000001)"
node/3932045014,40.4415039,-3.5539272,"(40.441503900000001, -3.5539272)"
node/3932045015,40.4415154,-3.5531295,"(40.4415154, -3.5531294999999998)"
node/3932045018,40.441622,-3.5527928,"(40.441622000000002, -3.5527928000000002)"
node/3932045019,40.4416342,-3.5535796,"(40.441634200000003, -3.5535795999999999)"
node/3932045022,40.4417176,-3.5524234,"(40.441717599999997, -3.5524233999999999)"
node/3932045024,40.4417531,-3.5532408,"(40.4417531, -3.5532408000000002)"
node/3932045026,40.4418049,-3.5521176,"(40.441804900000001, -3.5521175999999999)"
node/3932045029,40.4418547,-3.552902,"(40.4418547, -3.552902)"
node/3932045031,40.4419129,-3.5517464,"(40.441912899999998, -3.5517463999999999)"
node/3932045034,40.4419582,-3.5525507,"(40.441958200000002, -3.5525506999999998)"
node/3932045037,40.441978,-3.551417,"(40.441977999999999, -3.5514169999999998)"
node/3932045042,40.4420502,-3.5522005,"(40.442050199999997, -3.5522005000000001)"
node/3932045043,40.4420569,-3.5510676,"(40.442056899999997, -3.5510676000000001)"
node/3932045048,40.4421165,-3.5507036,"(40.442116499999997, -3.5507035999999998)"
node/3932045055,40.4421528,-3.5518189,"(40.442152800000002, -3.5518188999999998)"
node/3932045257,40.4421747,-3.5503378,"(40.442174700000002, -3.5503377999999999)"
node/3932045263,40.4422314,-3.5514865,"(40.442231399999997, -3.5514865000000002)"
node/3932045265,40.442233,-3.5500024,"(40.442233000000002, -3.5500023999999999)"
node/3932045273,40.4422694,-3.5496271,"(40.442269400000001, -3.5496270999999999)"
node/3932045278,40.4423001,-3.5492682,"(40.442300099999997, -3.5492682000000002)"
node/3932045279,40.4423013,-3.5511326,"(40.442301299999997, -3.5511325999999999)"
node/3932045283,40.4423212,-3.5489634,"(40.442321200000002, -3.5489633999999999)"
node/3932045286,40.442347,-3.5485503,"(40.442346999999998, -3.5485503)"
node/3932045288,40.4423518,-3.5481422,"(40.442351799999997, -3.5481422)"
node/3932045290,40.4423585,-3.5477443,"(40.442358499999997, -3.5477443000000002)"
node/3932045293,40.4423703,-3.5507699,"(40.4423703, -3.5507699000000001)"
node/3932045303,40.4424298,-3.5503958,"(40.442429799999999, -3.5503958)"
node/3932045314,40.4424863,-3.5500306,"(40.442486299999999, -3.5500305999999999)"
node/3932045320,40.4425285,-3.5496679,"(40.442528500000002, -3.5496679000000002)"
node/3932045324,40.4425707,-3.5492989,"(40.442570699999997, -3.5492989000000001)"
node/3932045326,40.4425937,-3.5489248,"(40.442593700000003, -3.5489248)"
node/3932045330,40.44261,-3.5466843,"(40.442610000000002, -3.5466842999999999)"
node/3932045332,40.4426148,-3.5470609,"(40.442614800000001, -3.5470609)"
node/3932045334,40.4426176,-3.548552,"(40.442617599999998, -3.5485519999999999)"
node/3932045335,40.4426224,-3.5463355,"(40.442622399999998, -3.5463355000000001)"
node/3932045337,40.4426282,-3.5474349,"(40.442628200000001, -3.5474348999999998)"
node/3932045338,40.4426349,-3.5477888,"(40.442634900000002, -3.5477888000000002)"
node/3932045339,40.4426349,-3.5481729,"(40.442634900000002, -3.5481729)"
node/3932045341,40.4426486,-3.5458755,"(40.442648599999998, -3.5458755000000002)"
node/3949498564,40.4174937,-3.7009645,"(40.417493700000001, -3.7009645)"
node/3949498565,40.4175491,-3.7008068,"(40.417549100000002, -3.7008068000000001)"
node/3949498566,40.4175898,-3.7006446,"(40.417589800000002, -3.7006446)"
