id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
2855,1728461566,9.386039472630504,40.455558,-3.6971938,"(40.455558000000003, -3.6971938)",TETUÁN,CUATRO CAMINOS,MU-16,"440875,5939","4478556,443",-3.697303533554077,40.455570220947266,"(40.45557, -3.6973035)"
2877,1728461570,7.899265008939454,40.4557969,-3.6971589,"(40.455796900000003, -3.6971588999999998)",TETUÁN,CUATRO CAMINOS,MU-16,"440887,594","4478589,443",-3.697165012359619,40.455867767333984,"(40.455868, -3.697165)"
6230,1728461570,7.754471746494722,40.4557969,-3.6971589,"(40.455796900000003, -3.6971588999999998)",TETUÁN,CUATRO CAMINOS,MU-16,"440884,5939","4478574,443",-3.6971991062164307,40.45573425292969,"(40.455734, -3.6971991)"
65206,1728461578,6.433068460536102,40.4560499,-3.6971739,"(40.456049899999996, -3.6971739000000001)",TETUÁN,CUATRO CAMINOS,MU-16,"440880,5941","4478610,443",-3.6972496509552,40.4560546875,"(40.456055, -3.6972497)"
3707,1728461578,6.467602867361525,40.4560499,-3.6971739,"(40.456049899999996, -3.6971739000000001)",TETUÁN,CUATRO CAMINOS,MU-16,"440888,594","4478603,443",-3.6971545219421387,40.45599365234375,"(40.455994, -3.6971545)"
4593,1728461578,9.643849033546468,40.4560499,-3.6971739,"(40.456049899999996, -3.6971739000000001)",TETUÁN,CUATRO CAMINOS,MU-16,"440879,5941","4478603,443",-3.697260618209839,40.45599365234375,"(40.455994, -3.6972606)"
7202,1728461593,7.024992024948562,40.4561267,-3.6971677,"(40.456126699999999, -3.6971677000000001)",TETUÁN,CUATRO CAMINOS,MU-16,"440883,9742","4478624,173",-3.6972110271453857,40.456180572509766,"(40.456181, -3.697211)"
2013,1728461593,7.021405185199269,40.4561267,-3.6971677,"(40.456126699999999, -3.6971677000000001)",TETUÁN,CUATRO CAMINOS,MU-16,"440880,5942","4478617,443",-3.6972501277923584,40.456119537353516,"(40.45612, -3.6972501)"
51068,1728461593,5.5799379244714835,40.4561267,-3.6971677,"(40.456126699999999, -3.6971677000000001)",TETUÁN,CUATRO CAMINOS,MU-16,"440888,0041","4478623,773",-3.6971633434295654,40.4561767578125,"(40.456177, -3.6971633)"
29109,1890102262,7.42955725816924,40.4158698,-3.6730999,"(40.415869800000003, -3.6730999)",RETIRO,NIÑO JESÚS,MU-16,"442888,6999","4474129,049",-3.6731648445129395,40.41582489013672,"(40.415825, -3.6731648)"
