id_OSM,lat_OSM,lon_OSM,coord
node/2798481176,40.4396576,-3.6557408,"(40.439657599999997, -3.6557407999999998)"
node/2798481177,40.4400572,-3.6554083,"(40.440057199999998, -3.6554082999999999)"
node/2798540104,40.4387827,-3.6545659,"(40.438782699999997, -3.6545659000000001)"
node/2798540105,40.4384826,-3.6551324,"(40.4384826, -3.6551323999999998)"
node/2798540106,40.4388322,-3.6554758,"(40.4388322, -3.6554758000000001)"
node/2798540108,40.4392479,-3.6544561,"(40.439247899999998, -3.6544561)"
node/2798540109,40.4390134,-3.6545402,"(40.4390134, -3.6545402)"
node/2798569121,40.4396637,-3.6546059,"(40.439663699999997, -3.6546059)"
node/2798569122,40.4398081,-3.6547089,"(40.4398081, -3.6547089000000001)"
node/2798569123,40.4401335,-3.6544678,"(40.440133500000002, -3.6544677999999999)"
node/2798569124,40.4403354,-3.6544936,"(40.440335400000002, -3.6544935999999999)"
node/2798569128,40.4403491,-3.6543284,"(40.440349099999999, -3.6543283999999998)"
node/2798569129,40.440117,-3.6541364,"(40.440117000000001, -3.6541364000000001)"
node/2798569139,40.4399512,-3.6539925,"(40.439951200000003, -3.6539925000000002)"
node/2798569142,40.4397876,-3.6539056,"(40.439787600000002, -3.6539055999999999)"
node/2798569155,40.4396066,-3.6537999,"(40.439606599999998, -3.6537999000000001)"
node/2798569161,40.4395461,-3.6538421,"(40.439546100000001, -3.6538420999999999)"
node/2798569166,40.4393995,-3.6541582,"(40.4393995, -3.6541581999999999)"
node/2799583634,40.4388564,-3.6544512,"(40.438856399999999, -3.6544512)"
node/2799583635,40.438825,-3.6543666,"(40.438825000000001, -3.6543665999999999)"
node/2799583636,40.4389607,-3.6540715,"(40.438960700000003, -3.6540715000000001)"
node/2799583637,40.4392033,-3.6535689,"(40.439203300000003, -3.6535688999999998)"
node/2799583638,40.4389089,-3.6537613,"(40.438908900000001, -3.6537613000000002)"
node/2799583639,40.4393007,-3.6535863,"(40.439300699999997, -3.6535863000000002)"
node/2799583640,40.4392147,-3.6541184,"(40.439214700000001, -3.6541184000000002)"
node/2799583641,40.4391414,-3.65427,"(40.439141399999997, -3.6542699999999999)"
node/2799583642,40.4392856,-3.6545716,"(40.439285599999998, -3.6545716000000001)"
node/2799583645,40.4397216,-3.6548549,"(40.439721599999999, -3.6548549000000001)"
node/2800600845,40.4379939,-3.6566727,"(40.437993900000002, -3.6566727000000001)"
node/2800602906,40.4382981,-3.6552603,"(40.438298099999997, -3.6552603000000001)"
node/2800602911,40.438528,-3.6544127,"(40.438527999999998, -3.6544127)"
node/2800668836,40.4387127,-3.6542434,"(40.438712700000004, -3.6542433999999999)"
node/2800668840,40.4387558,-3.6541471,"(40.438755800000003, -3.6541470999999999)"
node/2800668845,40.4388258,-3.6539912,"(40.438825799999996, -3.6539912000000001)"
node/2800668850,40.438863,-3.6539007,"(40.438862999999998, -3.6539006999999999)"
node/2800668878,40.4386874,-3.6543265,"(40.438687399999999, -3.6543264999999998)"
node/2800683169,40.4383942,-3.6548704,"(40.438394199999998, -3.6548704000000001)"
node/2800683171,40.4383664,-3.6557066,"(40.4383664, -3.6557065999999998)"
node/2800683172,40.438188,-3.6558756,"(40.438187999999997, -3.6558755999999999)"
node/2800683173,40.4380981,-3.6562729,"(40.438098099999998, -3.6562728999999998)"
node/2800720077,40.4385568,-3.6540979,"(40.438556800000001, -3.6540979)"
node/2800720083,40.4386599,-3.65394,"(40.438659899999998, -3.65394)"
node/2800720084,40.4386434,-3.6539199,"(40.438643399999997, -3.6539199)"
node/2800720085,40.438718,-3.6537652,"(40.438718000000001, -3.6537652)"
node/2800720086,40.4388632,-3.6537501,"(40.4388632, -3.6537500999999999)"
node/2801527287,40.4465695,-3.535723,"(40.446569500000003, -3.5357229999999999)"
node/2801527288,40.4466996,-3.5361481,"(40.446699600000002, -3.5361481000000001)"
node/2801527289,40.4468543,-3.5367698,"(40.446854299999998, -3.5367698000000001)"
node/2801527290,40.446899,-3.5365127,"(40.446899000000002, -3.5365126999999998)"
node/2801527291,40.4470068,-3.5369125,"(40.447006799999997, -3.5369125000000001)"
node/2801527292,40.447102,-3.5373112,"(40.447102000000001, -3.5373112)"
node/2801527293,40.4471749,-3.5377256,"(40.4471749, -3.5377255999999999)"
node/2801527294,40.4472381,-3.5381498,"(40.4472381, -3.5381497999999998)"
node/2801527295,40.4472813,-3.5385603,"(40.4472813, -3.5385602999999999)"
node/2801527296,40.4473296,-3.5389786,"(40.447329600000003, -3.5389786000000001)"
node/2801527297,40.4473787,-3.5393921,"(40.447378700000002, -3.5393921000000002)"
node/2801527298,40.4474256,-3.5398348,"(40.447425600000003, -3.5398347999999999)"
node/2801527299,40.4474709,-3.5402483,"(40.447470899999999, -3.5402483)"
