DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
MONCLOA-ARAVACA,ARGUELLES,MU-15E,439586.5892,4475026.447,-3.7121690000000003,40.4236773,4125449736,40.4232713,-3.7122425,"(40.423271300000003, -3.7122424999999999)",,45.5846934844386,"(40.423677300000001, -3.7121690000000003)"
MONCLOA-ARAVACA,ARGUELLES,MU-15E,439552.5895,4475031.447,-3.7125702000000005,40.423719899999995,4125449774,40.4234229,-3.7123905,"(40.423422899999998, -3.7123905000000001)",,36.37002949605091,"(40.423719899999995, -3.7125702000000005)"
SALAMANCA,GOYA,BA-3,442657.5801,4475010.505,-3.6759684,40.423751,3907364079,40.4240427,-3.6755271,"(40.424042700000001, -3.6755271)",,49.48626425793916,"(40.423751000000003, -3.6759683999999999)"
MONCLOA-ARAVACA,ARGUELLES,MU-15E,439594.5892,4475036.447,-3.7120756,40.423768,4125449754,40.4233427,-3.7121148,"(40.423342699999999, -3.7121148000000002)",,47.42083180943331,"(40.423768000000003, -3.7120755999999999)"
MONCLOA-ARAVACA,ARGUELLES,MU-15E,439564.5894,4475039.447,-3.7124295,40.423792799999994,4125449774,40.4234229,-3.7123905,"(40.423422899999998, -3.7123905000000001)",,41.27490505095179,"(40.423792799999994, -3.7124294999999998)"
MONCLOA-ARAVACA,ARGUELLES,MU-15E,439572.5894,4475046.447,-3.7123359,40.4238565,4125449774,40.4234229,-3.7123905,"(40.423422899999998, -3.7123905000000001)",,48.44878835100659,"(40.423856499999999, -3.7123358999999998)"
MONCLOA-ARAVACA,ARGUELLES,MU-15E,439592.5893,4475047.447,-3.7121003,40.4238669,4125449782,40.4234378,-3.7119444,"(40.423437800000002, -3.7119444000000001)",,49.51907946574863,"(40.4238669, -3.7121002999999999)"
SALAMANCA,GOYA,BA-16,442750.5796,4475036.504,-3.6748745,40.4239916,3907363939,40.4239044,-3.6748242,"(40.423904399999998, -3.6748242000000002)",,10.592861741427138,"(40.423991600000001, -3.6748745)"
SALAMANCA,RECOLETOS,MU-15F,441552.5866,4475083.519,-3.6890001000000003,40.4243319,2827800562,40.4245939,-3.6893069,"(40.424593899999998, -3.6893069000000001)",,39.03898228572482,"(40.424331899999999, -3.6890001000000003)"
SALAMANCA,RECOLETOS,MU-15F,441556.5866,4475099.519,-3.6889545,40.424476299999995,2827800562,40.4245939,-3.6893069,"(40.424593899999998, -3.6893069000000001)",,32.57954011098894,"(40.424476299999995, -3.6889544999999999)"
SALAMANCA,RECOLETOS,MU-15F,441502.5869,4475101.519,-3.6895912,40.424490500000005,2827800562,40.4245939,-3.6893069,"(40.424593899999998, -3.6893069000000001)",,26.67852663038585,"(40.424490500000005, -3.6895912000000002)"
SALAMANCA,RECOLETOS,BA-107,442220.5827,4475145.511,-3.6811317999999997,40.424937,4579350795,40.4249717,-3.6813549,"(40.4249717, -3.6813549000000001)",,19.280495044028743,"(40.424937, -3.6811317999999997)"
SALAMANCA,RECOLETOS,BA-107,442236.5826,4475145.511,-3.6809432,40.4249381,4579350795,40.4249717,-3.6813549,"(40.4249717, -3.6813549000000001)",,35.059074622678274,"(40.424938099999999, -3.6809432000000002)"
SALAMANCA,RECOLETOS,BA-107,442167.583,4475150.512,-3.681757,40.4249783,4579350795,40.4249717,-3.6813549,"(40.4249717, -3.6813549000000001)",,34.054372901345864,"(40.424978299999999, -3.6817570000000002)"
SALAMANCA,RECOLETOS,MU-15F,441493.5872,4475163.519,-3.6897029999999997,40.4250484,2827800568,40.424647,-3.6895153,"(40.424647, -3.6895153000000001)",,47.39059962459993,"(40.425048400000001, -3.6897029999999997)"
SALAMANCA,RECOLETOS,MU-15F,441496.5872,4475172.519,-3.6896684,40.4251297,2827800577,40.4247419,-3.6895119,"(40.424741900000001, -3.6895118999999998)",,45.12310410938286,"(40.425129699999999, -3.6896684)"
SALAMANCA,RECOLETOS,MU-15F,441551.5868,4475172.519,-3.6890201,40.4251335,2827800582,40.424801,-3.6893053,"(40.424801000000002, -3.6893053)",,44.168598640950634,"(40.425133500000001, -3.6890201)"
SALAMANCA,RECOLETOS,BA-107,442230.5827,4475168.511,-3.6810160000000005,40.4251448,4579350795,40.4249717,-3.6813549,"(40.4249717, -3.6813549000000001)",,34.555772663155345,"(40.425144799999998, -3.6810160000000005)"
SALAMANCA,RECOLETOS,MU-15F,441582.5866,4475174.518,-3.6886549,40.4251537,2827800590,40.4248608,-3.689096,"(40.424860799999998, -3.6890960000000002)",,49.560646879510564,"(40.425153700000003, -3.6886549)"
