CODIGO,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCIÓN ,COORD. X,COORD. Y,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,coord
FUE_01-01_0000000009,988701242,14.935416058176846,40.4115794,-3.7113306,"(40.411579400000001, -3.7113306000000001)",ZV,CENTRO,PLAZA DE LOS CARROS,PLAZA DE LOS CARROS,"439636,4322","4473693,572",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7114551067352295,40.41167449951172,"(40.411674, -3.7114551)"
FUE_01-07_0000000007,4330672719,28.71485641890308,40.4286719,-3.6893863,"(40.428671899999998, -3.6893862999999998)",ZV,CHAMBERÍ,"PO CASTELLANA, DE LA Nº:19",PASEO DE LA CASTELLANA IV,"441497,1641","4475576,983",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6896989345550537,40.42877197265625,"(40.428772, -3.6896989)"
FUE_01-09_0000000001,3500567653,15.449539576733176,40.4225917,-3.7129495,"(40.422591699999998, -3.7129495000000001)",ZV,MONCLOA-ARAVACA,PLAZA ESPAÑA,PLAZA ESPAÑA,"439503,9271","4474906,253",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.713131904602051,40.42258834838867,"(40.422588, -3.7131319)"
FUE_02-02_0000000012,3519204120,15.595281143275093,40.4027643,-3.6947126,"(40.402764300000001, -3.6947125999999999)",ZV,ARGANZUELA,ANTIGUA ESTACION SUR,C/PALOS DE LA FRONTERA Nº 29 ,"441049,3744","4472708,743",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.694711685180664,40.40290451049805,"(40.402905, -3.6947117)"
FUE_02-02_0000000039,4252391337,17.9435684862533,40.3923846,-3.6857146,"(40.3923846, -3.6857145999999998)",ZV,ARGANZUELA,PARQUE ENRIQUE TIERNO GALVAN,,"441803,0759","4471517,317",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6857213973999023,40.3922233581543,"(40.392223, -3.6857214)"
FUE_02-03_0000000010,3006321252,15.01770086851609,40.416696,-3.6656627,"(40.416696000000002, -3.6656626999999999)",ZV,RETIRO,JARDINES Pº JOHN LENNON,C/MARQUÉS DE LOZOYA Nº 6,"443511,2571","4474224,198",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6658358573913574,40.416725158691406,"(40.416725, -3.6658359)"
FUE_02-03_0000000011,3643291471,15.525780750179981,40.402811,-3.6682853,"(40.402811, -3.6682853)",ZV,RETIRO,PARQUE MARTIN LUTHER KING,C/ARREGUI Y ARUEJ  24,"443306,1855","4472675,612",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6681149005889893,40.40275955200195,"(40.40276, -3.6681149)"
FUE_02-03_0000000013,2494897762,14.505580438583527,40.4076385,-3.674152,"(40.407638499999997, -3.6741519999999999)",ZV,RETIRO,JARDINES CONDE CARTAGENA - ABTAO,C/ CONDE DE CARTAGENA 16,"442783,5549","4473222,373",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6743226051330566,40.407649993896484,"(40.40765, -3.6743226)"
FUE_02-03_0000000044,2496787803,11.685188767913784,40.4169324,-3.6761411,"(40.4169324, -3.6761411000000002)",VP,RETIRO,ALCALDE SAINZ DE BARANDA Nº 20 (Nº 18 EN EL BULEVAR),,"442625,9453","4474250,381",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6762726306915283,40.416900634765625,"(40.416901, -3.6762726)"
FUE_02-04_0000000024,1474140980,10.695196973049631,40.4290608,-3.6687341,"(40.429060800000002, -3.6687341)",ZV,SALAMANCA,PARQUE DE MARIA EVA DUARTE DE PERON,,"443271,7044","4475605,179",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6687824726104736,40.42914962768555,"(40.42915, -3.6687825)"
FUE_02-04_0000000039,4332345246,47.15747757231568,40.4293424,-3.6619985,"(40.429342400000003, -3.6619985000000002)",ZV,SALAMANCA,PARQUE SANCHO DÁVILA,ENTRADA POR PLAZA AMÉRICA ESPAÑOLA,"443883,2367","4475591,451",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.661572217941284,40.42906951904297,"(40.42907, -3.6615722)"
FUE_02-04_0000000040,4332345244,38.37694719684319,40.4267792,-3.6654199,"(40.426779199999999, -3.6654198999999998)",ZV,SALAMANCA,PARQUE RESIDENCIAL ISABEL II,CALLE RAMÓN AGUINAGA 2,443585.18,4475363.43,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6650655269622803,40.42699432373047,"(40.426994, -3.6650655)"
FUE_02-05_0000000069,2563304847,12.90846493417082,40.4514114,-3.6749166,"(40.451411399999998, -3.6749166)",VP,CHAMARTIN,PL VIRGEN DE GUADALUPANA Nº 1,,"442778,1837","4478090,399",ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.6748242378234863,40.45150375366211,"(40.451504, -3.6748242)"
FUE_03-08_0000000004,309541570,18.918528723563558,40.5089403,-3.7033474,"(40.508940299999999, -3.7033474000000002)",ZV,FUENCARRAL-EL PARDO,"AVDA MONTECARMELO, 10 ",DETRÁS DEL CEMENTERIO,"440420,3714","4484468,585",ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.7032275199890137,40.50879669189453,"(40.508797, -3.7032275)"
FUE_03-08_0000000041,1893858187,13.906585698397716,40.4820048,-3.7153645,"(40.482004799999999, -3.7153645000000002)",ZV,FUENCARRAL-EL PARDO,PZA. DE LA CAROLINA,,"439377,8222","4481512,742",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7152490615844727,40.482093811035156,"(40.482094, -3.7152491)"
FUE_03-08_0000000127,4788639621,20.95622499301155,40.4756988,-3.7053796,"(40.475698800000004, -3.7053796000000001)",ZV,FUENCARRAL-EL PARDO,PARQUE DE LA ALCAZABA,C/MELCHOR FDEZ. ALMAGOR Nº52 ,"440217,9924","4480814,83",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7052712440490723,40.475868225097656,"(40.475868, -3.7052712)"
FUE_03-08_0000000138,2946271319,19.284599250203108,40.4754267,-3.7209654,"(40.4754267, -3.7209653999999999)",VP,FUENCARRAL-EL PARDO,AV MONFORTE DE LEMOS Nº:195,,"438890,8276","4480795,564",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7209253311157227,40.4755973815918,"(40.475597, -3.7209253)"
FUE_03-09_0000000110,1802463898,10.667710355404322,40.4594691,-3.7186728,"(40.4594691, -3.7186727999999998)",VP,MONCLOA-ARAVACA,CL FRANCOS RODRIGUEZ Nº:83,,"439076,0105","4478997,952",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7185683250427246,40.459415435791016,"(40.459415, -3.7185683)"
FUE_03-10_0000000029,2960394820,15.670875767194541,40.4000875,-3.7471788,"(40.400087499999998, -3.7471787999999999)",ZV,LATINA,CUÑA VERDE LA LATINA,CALLE CONCEJAL FRANCISCO JOSÉ JIMÉNEZ MARTÍN Nº132,"436579,2398","4472429,004",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.747358798980713,40.400054931640625,"(40.400055, -3.7473588)"
FUE_03-10_0000000036,1340025575,20.053667984763194,40.3973861,-3.7577653,"(40.397386099999999, -3.7577653)",ZV,LATINA,PARQUE DE ALUCHE - ARIAS NAVARRO,,"435704,5576","4472123,541",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.757634401321411,40.39723587036133,"(40.397236, -3.7576344)"
FUE_03-10_0000000071,4332121748,47.37039052029395,40.3813012,-3.7756315,"(40.381301200000003, -3.7756314999999998)",ZV,LATINA,JARDINES DE LA COL. CASILDA BUSTOS A,CALLE GENERAL ROMERO BASART CV AVDA GENERAL FANJUL,434126.92,4470400.31,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7760448455810547,40.381587982177734,"(40.381588, -3.7760448)"
FUE_03-10_0000000099,4116738894,16.52190177946854,40.3998769,-3.7628733,"(40.399876900000002, -3.7628732999999999)",ZV,LATINA,CUÑA VERDE LA LATINA,C/SESEÑA 99. DENTRO DEL PARQUE. EN EL CARRIL BICI,"435248,565","4472411,557",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7630364894866943,40.39979553222656,"(40.399796, -3.7630365)"
FUE_04-15_0000000031,4330668671,14.924455176188578,40.4305461,-3.6445607,"(40.430546100000001, -3.6445607)",ZV,CIUDAD LINEAL,PAR VITAL AZA - CAROLINA CORONADO,"CAROLINA CORONADO, 26","445341,0006","4475751,13",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6444010734558105,40.43060302734375,"(40.430603, -3.6444011)"
FUE_04-15_0000000036,307782191,11.588427682759756,40.4812719,-3.669598,"(40.481271900000003, -3.6695980000000001)",ZV,CIUDAD LINEAL,PINAR DE CHAMARTIN,"CALERUEGA, 32","443249,0534","4481380,15",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6695656776428223,40.481170654296875,"(40.481171, -3.6695657)"
FUE_04-16_0000000121,1518829871,19.253850635081097,40.4695759,-3.6326981,"(40.469575900000002, -3.6326980999999998)",ZV,HORTALEZA,PARQUE SAN LORENZO,"MACUAJE, 5","446378,2271","4480083,578",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6325392723083496,40.46969985961914,"(40.4697, -3.6325393)"
FUE_04-20_0000000019,1245970134,41.72050099464886,40.424851,-3.605743,"(40.424850999999997, -3.6057429999999999)",ZV,SAN BLAS,Pº GINEBRA,"GINEBRA, 13","448647,5402","4475062,395",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.60536527633667,40.42461013793945,"(40.42461, -3.6053653)"
FUE_04-21_0000000038,3657771745,11.908451829657906,40.4531113,-3.5973653,"(40.453111300000003, -3.5973652999999999)",ZV,BARAJAS,PARQUE BIOSALUDABLE,"ALAMEDA DE OSUNA, 50",449340.3151,"4478212,024",ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,NO APTA CONSUMO,3-nov.-17,-3.597450017929077,40.453025817871094,"(40.453026, -3.59745)"
FUE_05-13_0000000092,1295884051,15.292449769192622,40.3799794,-3.6435365,"(40.379979400000003, -3.6435365000000002)",ZV,PUENTE VALLECAS,PARQUE LINEAL DE PALOMERAS EN EL CRUCE CON CALLE ARAGONESES,,"445387,9364","4470126,469",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6433651447296143,40.37993621826172,"(40.379936, -3.6433651)"
FUE_05-13_0000000111,1258603112,13.54745493940274,40.3991895,-3.6490433,"(40.399189499999999, -3.6490433000000002)",ZV,PUENTE VALLECAS,C/EL BOSCO CON RAMÓN PÉREZ DE AYALA  JUNTO A COLEGIO TAJAMAR,,"444933,2972","4472260,057",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6489052772521973,40.39912796020508,"(40.399128, -3.6489053)"
FUE_05-14_0000000084,1048614525,11.510786050210774,40.4120609,-3.6281796,"(40.4120609, -3.6281796000000002)",ZV,MORATALAZ,C/FUENTE CARRANTONA ENTRE LA CALLE CIUDAD ENCANTADA Y ACCESO A O´DONELL. ANILLO CICLISTA.,,"446712,5462","4473677,688",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.628058433532715,40.41201400756836,"(40.412014, -3.6280584)"
FUE_05-18_0000000048,4450589297,16.260331820343204,40.3645351,-3.5985856,"(40.364535099999998, -3.5985855999999998)",VP,VILLA DE VALLECAS,CAÑADA DEL SANTISIMO 30,,"449168,9057","4468376,501",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.5986857414245605,40.364410400390625,"(40.36441, -3.5986857)"
FUE_06-11_0000000039,3516311431,15.65036330815444,40.3982623,-3.7320796,"(40.398262299999999, -3.7320796000000001)",ZV,CARABANCHEL,PARQUE SAN ISIDRO,,"437885,6001","4472208,4",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7319440841674805,40.39816665649414,"(40.398167, -3.7319441)"
FUE_06-11_0000000119,3657800032,16.608414102951603,40.3989127,-3.7256179,"(40.398912699999997, -3.7256179)",ZV,CARABANCHEL,PARQUE SAN ISIDRO,,"438408,7521","4472295,082",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.725788116455078,40.39898681640625,"(40.398987, -3.7257881)"
FUE_06-12_0000000052,3733446724,20.680269789980134,40.3829853,-3.7118003,"(40.382985300000001, -3.7118003000000002)",ZV,USERA,PARQUE OLOF PALME,,"439600,9711","4470502,347",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7115702629089355,40.3829231262207,"(40.382923, -3.7115703)"
FUE_06-17_0000000073,3370152669,19.55622657967063,40.3564846,-3.6978708,"(40.356484600000002, -3.6978708)",ZV,VILLAVERDE,INTBL. SOTO DEL PARRAL- HUESPED SEVILLANO,,"440748,1625","4467576,455",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.697783946990967,40.35664749145508,"(40.356647, -3.6977839)"
