id_OSM,lat_OSM,lon_OSM,coord
4124379594,40.4498307,-3.7258375,"(40.4498307, -3.7258374999999999)"
4124379596,40.4498668,-3.7256075,"(40.449866800000002, -3.7256075000000002)"
4124379599,40.4498767,-3.7259484,"(40.449876699999997, -3.7259484)"
4124379605,40.4499451,-3.7257981,"(40.449945100000001, -3.7257981)"
4124379618,40.4500548,-3.7256639,"(40.450054799999997, -3.7256638999999998)"
4124379624,40.4501301,-3.7256075,"(40.450130100000003, -3.7256075000000002)"
4124379629,40.4502069,-3.7261879,"(40.450206899999998, -3.7261879000000002)"
4124379631,40.4502099,-3.7256619,"(40.450209899999997, -3.7256619)"
4124379643,40.4503686,-3.7257547,"(40.450368599999997, -3.7257547)"
4124379649,40.450487,-3.7256377,"(40.450487000000003, -3.7256377000000001)"
4124379659,40.4505346,-3.7258395,"(40.450534599999997, -3.7258395000000002)"
4124379661,40.450553,-3.7256952,"(40.450552999999999, -3.7256952000000001)"
4124379665,40.4505899,-3.7259575,"(40.450589899999997, -3.7259574999999998)"
4124379669,40.4506122,-3.7257668,"(40.450612200000002, -3.7257668000000002)"
4161784450,40.4425491,-3.7239337,"(40.442549100000001, -3.7239336999999999)"
4161785905,40.4426521,-3.7229862,"(40.442652099999997, -3.7229861999999998)"
4301188693,40.4744214,-3.6940599,"(40.474421399999997, -3.6940599000000001)"
4304233903,40.4765591,-3.7218812,"(40.476559100000003, -3.7218811999999999)"
4304233905,40.4773936,-3.7221668,"(40.477393599999999, -3.7221668000000001)"
4309798479,40.4877101,-3.690783,"(40.487710100000001, -3.6907830000000001)"
4309925741,40.4705569,-3.7183028,"(40.470556899999998, -3.7183028)"
4317894294,40.4165367,-3.7045088,"(40.416536700000002, -3.7045088000000002)"
4416327922,40.4714646,-3.7216527,"(40.471464599999997, -3.7216526999999999)"
4456021893,40.4371485,-3.7210201,"(40.437148499999999, -3.7210201000000001)"
4456027492,40.4360181,-3.7190607,"(40.436018099999998, -3.7190607)"
4456027694,40.4372136,-3.7211733,"(40.4372136, -3.7211732999999998)"
4456027695,40.4363654,-3.7197461,"(40.4363654, -3.7197461000000001)"
4563978391,40.3682176,-3.691997,"(40.368217600000001, -3.6919970000000002)"
4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)"
4608256801,40.4701691,-3.7101935,"(40.4701691, -3.7101934999999999)"
4619376479,40.4651024,-3.7072769,"(40.465102399999999, -3.7072769000000001)"
4619376480,40.4651687,-3.7072183,"(40.4651687, -3.7072183000000001)"
4619376481,40.4656033,-3.708011,"(40.465603299999998, -3.7080109999999999)"
4619376482,40.4656538,-3.7078956,"(40.465653799999998, -3.7078956000000001)"
4619376484,40.4661068,-3.7084074,"(40.466106799999999, -3.7084074)"
4619376485,40.4661389,-3.7082316,"(40.466138899999997, -3.7082316)"
4619376486,40.466548,-3.7082825,"(40.466548000000003, -3.7082825000000001)"
4619376488,40.4668522,-3.7083609,"(40.466852199999998, -3.7083609000000002)"
4619377189,40.4668797,-3.7085366,"(40.4668797, -3.7085366)"
4619377190,40.4671242,-3.708223,"(40.467124200000001, -3.7082229999999998)"
4619377192,40.4672062,-3.7084841,"(40.4672062, -3.7084841000000002)"
4619377193,40.4674363,-3.7081653,"(40.467436300000003, -3.7081653000000001)"
4619377194,40.4674703,-3.7083385,"(40.467470300000002, -3.7083385)"
4619377196,40.4676821,-3.7080058,"(40.467682099999998, -3.7080058)"
4619377197,40.4677771,-3.7082488,"(40.467777099999999, -3.7082487999999998)"
4619377198,40.4679207,-3.7079761,"(40.467920700000001, -3.7079761000000002)"
4619377200,40.4679489,-3.7081144,"(40.467948900000003, -3.7081143999999999)"
4632741931,40.4643634,-3.7055831,"(40.464363400000003, -3.7055831000000001)"
4632741932,40.4643618,-3.7055086,"(40.464361799999999, -3.7055085999999999)"
4632741935,40.4647085,-3.705757,"(40.4647085, -3.7057570000000002)"
4632741936,40.4646703,-3.7056341,"(40.464670300000002, -3.7056341000000002)"
4632741937,40.4649866,-3.7065097,"(40.464986600000003, -3.7065096999999998)"
4632741939,40.4650193,-3.7060104,"(40.465019300000002, -3.7060103999999998)"
4632741940,40.4650425,-3.7065122,"(40.465042500000003, -3.7065122000000001)"
4635304579,40.4622723,-3.7017435,"(40.462272300000002, -3.7017435000000001)"
