DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
ARGANZUELA,ACACIAS,"CALLE DEL GASOMETRO,10",50_LTS,439910.8617,4472838.42,-3.7081398963928223,40.40399169921875,node/3908009018,40.4035759,-3.7082863,"(40.4035759, -3.7082863000000001)",,47.881326737200126,"(40.4035759, -3.7082863000000001)"
LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,8",50_LTS,435824.4317,4472897.803,-3.7562999725341797,40.40422058105469,node/2631199031,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",,39.690531572024476,"(40.403864400000003, -3.7562714000000001)"
LATINA,LUCERO,"CALLE DE LA CARLINA,8",50_LTS,436252.3578,4472924.126,-3.7512600421905518,40.40449142456055,node/2133152105,40.4046315,-3.7513842,"(40.404631500000001, -3.7513841999999999)",,18.79684069848987,"(40.404631500000001, -3.7513841999999999)"
LATINA,LUCERO,"CALLE DE VILLAMANIN,66",50_LTS,436243.3634,4472964.165,-3.7513699531555176,40.404850006103516,node/2133152105,40.4046315,-3.7513842,"(40.404631500000001, -3.7513841999999999)",,24.33355250154288,"(40.404631500000001, -3.7513841999999999)"
ARGANZUELA,ACACIAS,"PASEO DE LAS ACACIAS,1",50_LTS,440302.9294,4472946.296,-3.7035300731658936,40.404991149902344,node/3285505466,40.4052779,-3.7032136,"(40.405277900000002, -3.7032136000000002)",,41.66174782702205,"(40.405277900000002, -3.7032136000000002)"
LATINA,LUCERO,"CALLE DE VILLAMANIN,66",50_LTS,436224.837,4472980.974,-3.7515900135040283,40.404998779296875,node/2133152105,40.4046315,-3.7513842,"(40.404631500000001, -3.7513841999999999)",,44.41485769665503,"(40.404631500000001, -3.7513841999999999)"
ARGANZUELA,ACACIAS,"RONDA DE TOLEDO,40",50_LTS,440289.4057,4472953.064,-3.7036898136138916,40.40504837036133,node/3285505466,40.4052779,-3.7032136,"(40.405277900000002, -3.7032136000000002)",,47.73437281965452,"(40.405277900000002, -3.7032136000000002)"
CENTRO,EMBAJADORES,"GLORIETA DE EMBAJADORES,10",50_LTS,440321.8182,4472973.897,-3.703310012817383,40.40523910522461,node/3285505465,40.4054596,-3.7030097,"(40.4054596, -3.7030097)",,35.333063238992374,"(40.4054596, -3.7030097)"
CENTRO,EMBAJADORES,"RONDA DE TOLEDO,40",50_LTS,440286.2237,4472979.731,-3.7037301063537598,40.40528869628906,node/3285505466,40.4052779,-3.7032136,"(40.405277900000002, -3.7032136000000002)",,43.762710383237255,"(40.405277900000002, -3.7032136000000002)"
CENTRO,EMBAJADORES,"GLORIETA DE EMBAJADORES,10",80_LTS,440333.7772,4472983.792,-3.70317006111145,40.405330657958984,node/3285505465,40.4054596,-3.7030097,"(40.4054596, -3.7030097)",,19.752364330756656,"(40.4054596, -3.7030097)"
CENTRO,EMBAJADORES,"GLORIETA DE EMBAJADORES,10",80_LTS,440340.6361,4472992.618,-3.703089952468872,40.40541076660156,node/3285505465,40.4054596,-3.7030097,"(40.4054596, -3.7030097)",,8.700695541482945,"(40.4054596, -3.7030097)"
CENTRO,EMBAJADORES,"GLORIETA DE EMBAJADORES,1",80_LTS,440387.4204,4473006.677,-3.7025399208068848,40.405540466308594,node/3285505465,40.4054596,-3.7030097,"(40.4054596, -3.7030097)",,40.7924442070328,"(40.4054596, -3.7030097)"
CENTRO,EMBAJADORES,"GLORIETA DE EMBAJADORES,10",50_LTS_EX,440352.6746,4473012.504,-3.7029500007629395,40.40559005737305,node/3285505465,40.4054596,-3.7030097,"(40.4054596, -3.7030097)",,15.366016696433869,"(40.4054596, -3.7030097)"
CENTRO,EMBAJADORES,"CALLE DE EMBAJADORES,70",40_LTS,440357.9158,4473031.333,-3.702889919281006,40.40576171875,node/3285505465,40.4054596,-3.7030097,"(40.4054596, -3.7030097)",,35.10153367051298,"(40.4054596, -3.7030097)"
