id_OSM,LATITUD,LONGITUD,coord
node/3893460375,40.3589708,-3.7014834,"(40.358970800000002, -3.7014833999999999)"
node/3893460381,40.3590482,-3.7017609,"(40.359048199999997, -3.7017609)"
node/3893460396,40.3591276,-3.7014103,"(40.359127600000001, -3.7014103)"
node/3893460402,40.3591988,-3.7016919,"(40.359198800000001, -3.7016919000000001)"
node/3893460403,40.3592235,-3.7019383,"(40.359223499999999, -3.7019383000000001)"
node/3895147568,40.3573452,-3.701266,"(40.357345199999997, -3.7012659999999999)"
node/3895147570,40.3573789,-3.7013975,"(40.3573789, -3.7013975000000001)"
node/3895147580,40.3574219,-3.7012311,"(40.357421899999999, -3.7012311000000002)"
node/3895147589,40.3574525,-3.7013626,"(40.357452500000001, -3.7013625999999999)"
node/3895147606,40.3575814,-3.7014122,"(40.357581400000001, -3.7014122)"
node/3895147610,40.3576304,-3.7016085,"(40.357630399999998, -3.7016084999999999)"
node/3895147612,40.357654,-3.7012968,"(40.357653999999997, -3.7012968000000002)"
node/3895147618,40.357739,-3.7027888,"(40.357739000000002, -3.7027888)"
node/3895147619,40.3577471,-3.7012566,"(40.357747099999997, -3.7012565999999998)"
node/3895147620,40.3577594,-3.7028667,"(40.357759399999999, -3.7028667)"
node/3895147624,40.3578258,-3.7012163,"(40.357825800000001, -3.7012163)"
node/3895147628,40.3578586,-3.7026882,"(40.3578586, -3.7026881999999999)"
node/3895147629,40.3578718,-3.7012834,"(40.357871799999998, -3.7012833999999999)"
node/3895147633,40.3579087,-3.7028814,"(40.357908700000003, -3.7028813999999999)"
node/3895147634,40.3579276,-3.7014794,"(40.357927599999996, -3.7014794000000002)"
node/3895147638,40.3579843,-3.7009667,"(40.357984299999998, -3.7009666999999999)"
node/3895147639,40.3579844,-3.7026305,"(40.357984399999999, -3.7026305000000002)"
node/3895147642,40.3580252,-3.701113,"(40.3580252, -3.7011129999999999)"
node/3895147643,40.3580314,-3.7028022,"(40.358031400000002, -3.7028021999999998)"
node/3895147645,40.35806,-3.7009345,"(40.358060000000002, -3.7009344999999998)"
node/3895147648,40.3580978,-3.7010808,"(40.358097800000003, -3.7010808000000002)"
node/3895147650,40.3581122,-3.7025714,"(40.358112200000001, -3.7025714000000001)"
node/3895147651,40.3581132,-3.7011734,"(40.358113199999998, -3.7011734000000001)"
node/3895147654,40.3581572,-3.7027258,"(40.358157200000001, -3.7027258000000001)"
node/3895147655,40.3581604,-3.7013722,"(40.358160400000003, -3.7013721999999998)"
node/3895147660,40.3582401,-3.7025137,"(40.358240100000003, -3.7025136999999999)"
node/3895147663,40.3582769,-3.7026493,"(40.3582769, -3.7026493)"
node/3895147665,40.358297,-3.7010077,"(40.358297, -3.7010076999999999)"
node/3895147668,40.3583447,-3.7010684,"(40.358344700000004, -3.7010684)"
node/3895147670,40.3583669,-3.7024533,"(40.3583669, -3.7024533000000002)"
node/3895147672,40.3583811,-3.7009694,"(40.358381100000003, -3.7009694)"
node/3895147674,40.3584027,-3.7012697,"(40.358402699999999, -3.7012697000000001)"
node/3895147678,40.358465,-3.7009305,"(40.358465000000002, -3.7009305000000001)"
node/3895147682,40.3584998,-3.7023996,"(40.358499799999997, -3.7023996000000001)"
node/3895147686,40.3585949,-3.7009565,"(40.3585949, -3.7009565000000002)"
node/3895147690,40.358642,-3.7011605,"(40.358642000000003, -3.7011604999999999)"
node/3902981398,40.3556771,-3.7019004,"(40.355677100000001, -3.7019004)"
node/3902981413,40.3557545,-3.7019922,"(40.355754500000003, -3.7019921999999998)"
node/3902981420,40.3557882,-3.7021237,"(40.355788199999999, -3.7021237)"
node/3902981432,40.3558312,-3.7019573,"(40.355831199999997, -3.7019573000000001)"
node/3902981441,40.3558618,-3.7020888,"(40.3558618, -3.7020887999999998)"
node/3902981572,40.3559778,-3.7021307,"(40.355977799999998, -3.7021307000000001)"
node/3902981582,40.3560265,-3.7023325,"(40.356026499999999, -3.7023324999999998)"
node/3902981587,40.3560474,-3.7020174,"(40.356047400000001, -3.7020173999999999)"
node/3902981609,40.3561416,-3.7019887,"(40.356141600000001, -3.7019886999999998)"
node/3902981621,40.3562232,-3.701945,"(40.356223200000002, -3.7019449999999998)"
node/3902981630,40.3562682,-3.7020019,"(40.356268200000002, -3.7020019)"
node/3902981642,40.3563237,-3.7022034,"(40.356323699999997, -3.7022034000000001)"
node/3902981648,40.3563817,-3.7016948,"(40.3563817, -3.7016947999999998)"
node/3902981654,40.3564185,-3.7018365,"(40.356418499999997, -3.7018365000000002)"
node/3902981759,40.3564587,-3.7016632,"(40.356458699999997, -3.7016632)"
node/3902981765,40.356492,-3.7017928,"(40.356492000000003, -3.7017928000000002)"
node/3902981769,40.3565096,-3.7018919,"(40.356509600000003, -3.7018919000000001)"
node/3902981773,40.3565565,-3.7020962,"(40.356556500000003, -3.7020962000000002)"
node/3902981792,40.356693,-3.701725,"(40.356693, -3.7017250000000002)"
node/3902981798,40.3567411,-3.7017869,"(40.356741100000001, -3.7017869000000001)"
