id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
15346,2757304258,6.383711611141745,40.4384713,-3.6551845,"(40.438471300000003, -3.6551844999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE ESTEBAN MORA,39A",50_LTS,"444437,4615","4476635,435",-3.655129909515381,40.43851089477539,"(40.438511, -3.6551299)"
85354,2757304276,20.061077964092547,40.4385233,-3.6553782,"(40.4385233, -3.6553781999999999)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE ESTEBAN MORA,13",50_LTS,"444396,7929","4476641,287",-3.6556100845336914,40.438560485839844,"(40.43856, -3.6556101)"
42305,2757304282,21.276526923154304,40.4388693,-3.6554855,"(40.4388693, -3.6554855000000002)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LOS DERECHOS HUMANOS,8",50_LTS,"444387,7767","4476683,536",-3.6557199954986572,40.43893814086914,"(40.438938, -3.65572)"
30112,2764886667,27.225947007967537,40.4401021,-3.6550956,"(40.440102099999997, -3.6550956000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DE AFRICA,38",50_LTS,"444451,6813","4476837,36",-3.654979944229126,40.440330505371094,"(40.440331, -3.6549799)"
11891,2764886667,42.896732349236636,40.4401021,-3.6550956,"(40.440102099999997, -3.6550956000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE VERDAGUER Y GARCIA,43",50_LTS,"444477,9559","4476834,945",-3.654670000076294,40.440311431884766,"(40.440311, -3.65467)"
72732,2764886667,23.307426119749305,40.4401021,-3.6550956,"(40.440102099999997, -3.6550956000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DE AFRICA,37",50_LTS_EX,"444425,3244","4476828,675",-3.655290126800537,40.440250396728516,"(40.44025, -3.6552901)"
53780,2764886667,7.264782744293562,40.4401021,-3.6550956,"(40.440102099999997, -3.6550956000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DE AFRICA,35",50_LTS,"444434,5218","4476810,846",-3.655179977416992,40.44009017944336,"(40.44009, -3.65518)"
47942,2764886684,5.180556210794879,40.439174,-3.655041,"(40.439174000000001, -3.6550410000000002)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DE AFRICA,29",50_LTS,"444450,7265","4476708,6",-3.654979944229126,40.439170837402344,"(40.439171, -3.6549799)"
47302,2764886702,30.684998950904628,40.4398955,-3.6558139,"(40.439895499999999, -3.6558139000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE VERDAGUER Y GARCIA,5",50_LTS,"444352,1818","4476801,467",-3.6561501026153564,40.439998626708984,"(40.439999, -3.6561501)"
52635,2764886702,38.686555953949174,40.4398955,-3.6558139,"(40.439895499999999, -3.6558139000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE VERDAGUER Y GARCIA,2",50_LTS,"444344,3592","4476775,993",-3.6562399864196777,40.43976974487305,"(40.43977, -3.65624)"
1234,2764886702,25.346730506078682,40.4398955,-3.6558139,"(40.439895499999999, -3.6558139000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LOS DERECHOS HUMANOS,14",50_LTS,"444367,2003","4476768,053",-3.6559700965881348,40.439701080322266,"(40.439701, -3.6559701)"
19466,2764886876,29.002028340192215,40.4392548,-3.6546673,"(40.439254800000001, -3.6546672999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE CESAR GONZALEZ RUANO,3",50_LTS,"444505,9607","4476722,622",-3.654330015182495,40.439300537109375,"(40.439301, -3.65433)"
34699,2764886876,5.258155626776132,40.4392548,-3.6546673,"(40.439254800000001, -3.6546672999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE CESAR GONZALEZ RUANO,1",50_LTS,"444473,7243","4476721,75",-3.654710054397583,40.43928909301758,"(40.439289, -3.6547101)"
11341,2798480992,5.162101094978479,40.4395474,-3.6549232,"(40.439547400000002, -3.6549231999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DE AFRICA,31",50_LTS_EX,"444452,7026","4476746,328",-3.6549599170684814,40.439510345458984,"(40.43951, -3.6549599)"
1652,2798481168,5.3128707966167,40.4392256,-3.6555999,"(40.4392256, -3.6555998999999999)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LOS DERECHOS HUMANOS,8",50_LTS,"444397,3037","4476710,107",-3.6556100845336914,40.439178466796875,"(40.439178, -3.6556101)"
69114,2798481168,26.516475299259838,40.4392256,-3.6555999,"(40.4392256, -3.6555998999999999)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LOS DERECHOS HUMANOS,10",50_LTS,"444377,1056","4476731,348",-3.6558499336242676,40.439369201660156,"(40.439369, -3.6558499)"
68823,2798540104,17.719525972869036,40.4387827,-3.6545659,"(40.438782699999997, -3.6545659000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE ESTEBAN MORA,41",50_LTS,"444502,19","4476671,587",-3.654370069503784,40.438838958740234,"(40.438839, -3.6543701)"
52638,2798540104,31.194516735544,40.4387827,-3.6545659,"(40.438782699999997, -3.6545659000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE ESTEBAN MORA,39G",50_LTS,"444463,8108","4476643,01",-3.654819965362549,40.43857955932617,"(40.43858, -3.65482)"
19913,2798540104,18.065801926431927,40.4387827,-3.6545659,"(40.438782699999997, -3.6545659000000001)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DE AFRICA,27",50_LTS,"444469,1217","4476672,942",-3.6547598838806152,40.43885040283203,"(40.43885, -3.6547599)"
28461,2800602924,8.92388130507186,40.4380767,-3.653931,"(40.438076700000003, -3.653931)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DEL VAL,7",50_LTS_EX,"444530,3767","4476583,683",-3.6540300846099854,40.43804931640625,"(40.438049, -3.6540301)"
82875,2800668859,21.608729389703107,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,PORTAL,MU-11B,"444530,9939","4476667,286",-3.6540300846099854,40.438804626464844,"(40.438805, -3.6540301)"
38982,2800668859,26.053105698069118,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE ESTEBAN MORA,43",120_LTS,"444535,2501","4476669,122",-3.653980016708374,40.438819885253906,"(40.43882, -3.65398)"
33214,2800668859,27.755199973706393,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,PORTAL,MU-11B,"444539,0339","4476665,876",-3.653935194015503,40.43878936767578,"(40.438789, -3.6539352)"
501,2800668859,35.194910697979665,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE ESTEBAN MORA,43",50_LTS,"444530,2847","4476685,809",-3.6540400981903076,40.438968658447266,"(40.438969, -3.6540401)"
89147,2800668859,47.31740806078678,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE ESTEBAN MORA,24",50_LTS_EX,"444554,8225","4476677,857",-3.653749942779541,40.438899993896484,"(40.4389, -3.6537499)"
88260,2800668859,24.057456595812425,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LA VIRGEN DE AFRICA,14",50_LTS,"444523,1052","4476632,58",-3.6541199684143066,40.43849182128906,"(40.438492, -3.65412)"
60396,2800668859,7.146501637910204,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,PORTAL,MU-11B,"444518,4339","4476659,866",-3.65417742729187,40.43873596191406,"(40.438736, -3.6541774)"
82874,2800668859,32.60600016645809,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)",CIUDAD LINEAL,SAN PASCUAL,PORTAL,MU-11B,"444540,624","4476673,076",-3.653917074203491,40.4388542175293,"(40.438854, -3.6539171)"
