id_OSM,lat_OSM,lon_OSM,coord_OSM,distance
849583697,40.4467515,-3.7399653,"(40.446751499999998, -3.7399653000000002)",10418.465070351012
849583701,40.4497669,-3.7413372,"(40.4497669, -3.7413371999999998)",10063.56062067194
1531843178,40.4037544,-3.7568431,"(40.403754399999997, -3.7568431000000002)",14738.836810964844
1531843184,40.4037609,-3.7567794,"(40.403760900000002, -3.7567794000000001)",14738.885406536632
1595614371,40.3871479,-3.7599569,"(40.387147900000002, -3.7599569000000002)",16538.26697515233
1595614373,40.387229,-3.7596934,"(40.387228999999998, -3.7596934000000002)",16531.776921097855
1613028882,40.4126328,-3.7364487,"(40.412632799999997, -3.7364487)",14126.998267444538
1623075032,40.4108251,-3.6936063,"(40.410825099999997, -3.6936062999999999)",15680.075026933828
1634750484,40.4117684,-3.7114761,"(40.4117684, -3.7114761000000001)",14925.601952076171
1634750486,40.4117798,-3.7112126,"(40.411779799999998, -3.7112126000000001)",14933.303983458587
1645108323,40.4136478,-3.7332293,"(40.4136478, -3.7332293000000001)",14094.838792965711
1645108325,40.4137433,-3.733497,"(40.4137433, -3.7334969999999998)",14078.119580629618
1669117687,40.4084372,-3.7034368,"(40.408437200000002, -3.7034368)",15543.114576141403
1728461411,40.4535774,-3.6971584,"(40.4535774, -3.6971584000000002)",11523.198402808519
1728461423,40.4535804,-3.6972342,"(40.4535804, -3.6972342)",11518.967492602793
1728461443,40.453769,-3.6971417,"(40.453769000000001, -3.6971417)",11507.341012054661
1728461451,40.4537739,-3.697215,"(40.453773900000002, -3.6972149999999999)",11503.069278808203
1728461570,40.4557969,-3.6971589,"(40.455796900000003, -3.6971588999999998)",11330.274723373988
1728461578,40.4560499,-3.6971739,"(40.456049899999996, -3.6971739000000001)",11307.619238949595
1802463879,40.4591494,-3.7250888,"(40.459149400000001, -3.7250888)",9686.076935057052
1802463892,40.4594066,-3.7253267,"(40.459406600000001, -3.7253267000000001)",9651.265004685865
1802463903,40.4595425,-3.7252503,"(40.459542499999998, -3.7252502999999999)",9641.296736406883
1802463907,40.4596615,-3.7251097,"(40.459661500000003, -3.7251097)",9635.667227311398
1828866373,40.5011312,-3.6987488,"(40.501131200000003, -3.6987488000000002)",7943.725687676211
1890102262,40.4158698,-3.6730999,"(40.415869800000003, -3.6730999)",16109.08508082523
1890102293,40.4161496,-3.6727781,"(40.416149599999997, -3.6727780999999999)",16099.043163020478
1890102321,40.4160412,-3.6732259,"(40.416041200000002, -3.6732258999999998)",16087.336475975946
1890102328,40.4158718,-3.6734272,"(40.415871799999998, -3.6734271999999999)",16093.15037498833
1891204162,40.416254,-3.6719525,"(40.416254000000002, -3.6719525000000002)",16129.552533772494
2137708364,40.4008313,-3.705414,"(40.4008313, -3.7054140000000002)",16245.962048781386
2143246726,40.3923328,-3.7020676,"(40.392332799999998, -3.7020675999999999)",17226.581233207202
2143246729,40.3930687,-3.7027275,"(40.393068700000001, -3.7027274999999999)",17129.42425701109
2351691921,40.3998226,-3.7629453,"(40.3998226, -3.7629453000000002)",15109.505044078243
2352895346,40.3881264,-3.7315356,"(40.388126399999997, -3.7315356)",16867.326429416047
2352895347,40.3881839,-3.7314677,"(40.388183900000001, -3.7314677000000001)",16862.576971998817
2352895352,40.3883825,-3.7311118,"(40.388382499999999, -3.7311117999999999)",16848.793365011596
2375150818,40.4075992,-3.7352454,"(40.4075992, -3.7352454000000002)",14693.703801821974
2375150819,40.4076816,-3.735222,"(40.407681599999997, -3.7352219999999998)",14685.397479763931
2475564221,40.4041227,-3.7086479,"(40.404122700000002, -3.7086478999999999)",15801.69375793822
2475564231,40.4041108,-3.7085283,"(40.404110799999998, -3.7085283000000002)",15806.8635744131
2475564274,40.4041412,-3.708787,"(40.404141199999998, -3.7087870000000001)",15795.209779057202
2475564287,40.4041843,-3.7088147,"(40.404184299999997, -3.7088147)",15789.880796137493
2475564300,40.4042799,-3.708752,"(40.404279899999999, -3.708752)",15782.155238058947
2475564314,40.4043011,-3.7086414,"(40.404301099999998, -3.7086413999999999)",15783.637174029289
2475564327,40.4042327,-3.7085948,"(40.404232700000001, -3.7085948000000002)",15792.182120326053
2764886798,40.4387809,-3.6545943,"(40.438780899999998, -3.6545942999999999)",15153.812414201615
2764886807,40.438731,-3.6546483,"(40.438730999999997, -3.6546482999999998)",15154.497438753662
2765191374,40.438871,-3.6513619,"(40.438870999999999, -3.6513618999999999)",15341.76781571849
2765191376,40.4388515,-3.6513456,"(40.438851499999998, -3.6513456)",15344.268981364461
2765191377,40.4388533,-3.6513818,"(40.438853299999998, -3.6513817999999998)",15341.93206847229
2765191378,40.4387093,-3.6516841,"(40.438709299999999, -3.6516841000000002)",15334.776162565087
2765191379,40.4386818,-3.651697,"(40.438681799999998, -3.651697)",15336.131253796038
2765191382,40.4386773,-3.651732,"(40.438677300000002, -3.651732)",15334.361048505285
2765191383,40.438712,-3.651725,"(40.438712000000002, -3.6517249999999999)",15332.088677136697
2765191385,40.4385597,-3.6515509,"(40.438559699999999, -3.6515509000000002)",15354.468226523653
2765191387,40.4385415,-3.6516017,"(40.438541499999999, -3.6516017000000001)",15352.80623418662
2792879913,40.5041183,-3.6176122,"(40.504118300000002, -3.6176121999999999)",14275.45412534174
2800668858,40.4387332,-3.6542053,"(40.438733200000001, -3.6542053000000001)",15180.885889351295
2827800582,40.424801,-3.6893053,"(40.424801000000002, -3.6893053)",14522.342650912498
2827800590,40.4248608,-3.689096,"(40.424860799999998, -3.6890960000000002)",14526.2538165109
2827800593,40.4249062,-3.6893526,"(40.424906200000002, -3.6893525999999999)",14510.320526816591
2827804102,40.4249645,-3.6891461,"(40.424964500000002, -3.6891460999999999)",14514.248503886776
2918070823,40.4092491,-3.7462603,"(40.409249099999997, -3.7462602999999999)",14293.77974449071
2918070830,40.4100658,-3.745996,"(40.410065799999998, -3.7459959999999999)",14209.66184530494
2918070831,40.4101043,-3.7462316,"(40.4101043, -3.7462316000000002)",14201.272934558468
2972892265,40.4401985,-3.7043077,"(40.440198500000001, -3.7043077000000002)",12396.530443400763
3106170530,40.3543311,-3.712097,"(40.354331100000003, -3.712097)",20929.139295577163
3106170536,40.3544752,-3.7123326,"(40.354475200000003, -3.7123325999999999)",20908.16085361818
3106170577,40.3544158,-3.7122709,"(40.354415799999998, -3.7122709)",20915.966950232505
3106170585,40.3541726,-3.7122951,"(40.354172599999998, -3.7122951)",20941.364653659464
3135976514,40.4494857,-3.6888348,"(40.449485699999997, -3.6888348)",12319.630901649361
3136517518,40.3469873,-3.7157237,"(40.346987300000002, -3.7157236999999999)",21633.35526160958
3136517521,40.3468586,-3.71578,"(40.346858599999997, -3.7157800000000001)",21645.963776040862
3136517551,40.3466971,-3.7158471,"(40.3466971, -3.7158471)",21661.867201825764
3159536242,40.357998,-3.6848505,"(40.357998000000002, -3.6848505)",21312.605470300456
3159536243,40.3580323,-3.6848089,"(40.358032299999998, -3.6848089000000002)",21310.4341983859
