id_OSM,lat_OSM,lon_OSM,coord_OSM,distance
1284089807,40.3861099,-3.6963637,"(40.386109900000001, -3.6963637)",18046.383970314168
1284090035,40.405036,-3.7230677,"(40.405036000000003, -3.7230677000000001)",15260.549550937996
1295884051,40.3799794,-3.6435365,"(40.379979400000003, -3.6435365000000002)",20818.60815676512
1295884428,40.4062,-3.6577811,"(40.406199999999998, -3.6577810999999998)",17739.716425529114
1325487024,40.4229607,-3.6381304,"(40.422960699999997, -3.6381304000000001)",17393.35960205831
1325487155,40.4257093,-3.6263327,"(40.425709300000001, -3.6263326999999999)",17896.782550416952
1325487923,40.4336193,-3.618304,"(40.433619299999997, -3.6183040000000002)",17834.02675672273
1325488008,40.434057,-3.6133962,"(40.434057000000003, -3.6133961999999999)",18127.99641601045
1340025575,40.3973861,-3.7577653,"(40.397386099999999, -3.7577653)",15412.24301475614
1354800898,40.388443,-3.6338758,"(40.388443000000002, -3.6338758000000002)",20535.168647457274
1418447314,40.4176052,-3.7338908,"(40.417605199999997, -3.7338908000000002)",13646.25006312336
1435226224,40.4446795,-3.7083824,"(40.444679499999999, -3.7083824000000001)",11790.253068059024
1435775507,40.4172579,-3.7352657,"(40.417257900000003, -3.7352656999999998)",13649.041853632707
1435923179,40.4220952,-3.7312264,"(40.422095200000001, -3.7312264000000002)",13241.577248604992
1436712916,40.4099184,-3.6861031,"(40.409918400000002, -3.6861031)",16076.063568840154
1436712948,40.4114025,-3.6800366,"(40.411402500000001, -3.6800366000000002)",16200.878056274132
1436712952,40.4114121,-3.639535,"(40.4114121, -3.639535)",18255.509870535992
1436712962,40.4119248,-3.6355053,"(40.411924800000001, -3.6355053000000002)",18439.97627021137
1440939166,40.4126948,-3.7495808,"(40.412694799999997, -3.7495807999999999)",13846.410695870642
1440939172,40.4098531,-3.7507684,"(40.409853099999999, -3.7507684000000001)",14137.322098004895
1440939173,40.4113367,-3.7515119,"(40.4113367, -3.7515119000000001)",13963.501091680264
1440939175,40.4119453,-3.7478561,"(40.411945299999999, -3.7478560999999999)",13957.54308451421
1448407559,40.4734154,-3.6336507,"(40.4734154, -3.6336507)",14273.737021387713
1460364330,40.4000879,-3.6561554,"(40.400087900000003, -3.6561553999999998)",18371.607189466562
1464142398,40.4078603,-3.7295561,"(40.407860300000003, -3.7295560999999999)",14790.298484156627
