id_OSM,LATITUD,LONGITUD,coord
node/1916805100,40.4604187,-3.7238039,"(40.460418699999998, -3.7238039000000001)"
node/1954448415,40.4586195,-3.723305,"(40.458619499999998, -3.7233049999999999)"
node/1992836768,40.4595438,-3.7213113,"(40.459543799999999, -3.7213113)"
node/1992838962,40.4582152,-3.7231648,"(40.458215199999998, -3.7231648000000002)"
node/2046863335,40.4507919,-3.675628,"(40.450791899999999, -3.6756280000000001)"
node/2371641153,40.4090546,-3.744674,"(40.409054599999997, -3.7446739999999998)"
node/2416327918,40.383587,-3.7720682,"(40.383586999999999, -3.7720682000000001)"
node/2416331089,40.3838649,-3.7705179,"(40.383864899999999, -3.7705179000000002)"
node/2416331091,40.3829046,-3.7747772,"(40.382904600000003, -3.7747771999999999)"
node/2623339506,40.4335717,-3.616938,"(40.433571700000002, -3.6169380000000002)"
node/2624160636,40.4124312,-3.7556711,"(40.4124312, -3.7556710999999998)"
node/2883034889,40.4421112,-3.7054054,"(40.442111199999999, -3.7054054000000001)"
node/2910015459,40.4417065,-3.6793004,"(40.441706500000002, -3.6793003999999998)"
node/2928478381,40.4209228,-3.7233767,"(40.4209228, -3.7233767000000002)"
node/2946159114,40.4113959,-3.6970807,"(40.411395900000002, -3.6970806999999999)"
node/2946208308,40.416675,-3.7084532,"(40.416674999999998, -3.7084532000000001)"
node/2946232759,40.4467186,-3.7137422,"(40.446718599999997, -3.7137422)"
node/2946232761,40.460128,-3.7066309,"(40.460127999999997, -3.7066309)"
node/2946271317,40.4740471,-3.7204084,"(40.4740471, -3.7204084000000002)"
node/2946271320,40.4758441,-3.7219845,"(40.475844100000003, -3.7219845)"
node/2946271321,40.4760356,-3.7218594,"(40.476035600000003, -3.7218594)"
node/2960394786,40.3900118,-3.7600156,"(40.390011800000003, -3.7600156)"
node/2991168859,40.5310741,-3.7920328,"(40.531074099999998, -3.7920327999999999)"
node/3005414335,40.3989194,-3.7535894,"(40.398919399999997, -3.7535894000000001)"
node/3035326645,40.4206074,-3.6597994,"(40.420607400000002, -3.6597993999999998)"
node/3035326646,40.4207856,-3.661015,"(40.420785600000002, -3.6610149999999999)"
node/3055024260,40.4654034,-3.6871944,"(40.4654034, -3.6871944000000001)"
node/3055024261,40.4642221,-3.687589,"(40.464222100000001, -3.687589)"
node/3150808038,40.421697,-3.7307997,"(40.421697000000002, -3.7307996999999999)"
node/3170272294,40.4120637,-3.6897489,"(40.412063699999997, -3.6897489000000001)"
