id,CODIGO,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCIÓN ,COORD. X,COORD. Y,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,coord
218,FUE_02-05_0000000017,ZV,CHAMARTIN,PZA. C/ GABRIEL LOBO,CALLE GAGRIEL LOBO CV DUQUE DE SEVILLA,"442269,0676","4477120,417",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.680739641189575,40.44272994995117,"(40.44273, -3.6807396)"
1502,FUE_04-20_0000000109,VP,SAN BLAS,PLAZA BARBADOS,"C/V CALLE LÓPEZ DE ARANDA, FRENTE Nº 29 ","446182,05","4477255,77",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.634613513946533,40.4442138671875,"(40.444214, -3.6346135)"
310,FUE_01-06_0000000080,VP,TETUÁN,"CL HERNANI, 18",ESQUINA C/ ISTURIZ,"440449,372","4477750,648",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.702254295349121,40.448280334472656,"(40.44828, -3.7022543)"
311,FUE_01-06_0000000081,ZV,TETUÁN,PLAZA PABLO RUÍZ PICASSO,JUNTO A FUENTE ORNAMENTAL,"441217,8872","4477903,053",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.693206310272217,40.44970703125,"(40.449707, -3.6932063)"
251,FUE_02-05_0000000071,VP,CHAMARTIN,C/BOLIVIA FRENTE AL Nº 14,,"443405,0661","4478045,476",ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.6674275398254395,40.451141357421875,"(40.451141, -3.6674275)"
304,FUE_01-06_0000000074,VP,TETUÁN,CL BRAVO MURILLO Nº:188,C/ BRAVO MURILLO C/V C/ MERCEDES,"440418,6223","4478450,604",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7026824951171875,40.45458221435547,"(40.454582, -3.7026825)"
252,FUE_02-05_0000000072,VP,CHAMARTIN,AVDA ALFONSO XIII 36,,"442507,6378","4478684,519",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6780683994293213,40.45683670043945,"(40.456837, -3.6780684)"
545,FUE_03-09_0000000116,VP,MONCLOA-ARAVACA,CL PEREZ DE VICTORIA,JUNTO A LA PARROQUIA DE LA ASUNCIÓN DE NUESTRA SEÑORA,"433593,3767","4478806,425",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.783207654953003,40.457271575927734,"(40.457272, -3.7832077)"
254,FUE_02-05_0000000075,ZV,CHAMARTIN,C/PARAGUAY Nº 9,,"443024,59","4479008,41",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6720008850097656,40.45979309082031,"(40.459793, -3.6720009)"
1230,FUE_04-16_0000000151,ZV,HORTALEZA,ALCORISA-SILVANO,C/ ALCORISA FTE 47,"445832,5833","4479402,462",ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.6389174461364746,40.46352767944336,"(40.463528, -3.6389174)"
543,FUE_03-09_0000000112,ZV,MONCLOA-ARAVACA,CAMINO DE LA ZARZUELA 25,,"433251,7917","4479710,473",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7873311042785645,40.465389251708984,"(40.465389, -3.7873311)"
542,FUE_03-09_0000000111,ZV,MONCLOA-ARAVACA,CAMINO DE LA ZARZUELA 25,,"433279,2635","4479714,43",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7870075702667236,40.46542739868164,"(40.465427, -3.7870076)"
544,FUE_03-09_0000000113,ZV,MONCLOA-ARAVACA,CAMINO DE LA ZARZUELA 25,,"433208,8151","4479722,894",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.78783917427063,40.46549606323242,"(40.465496, -3.7878392)"
