DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
TETUÁN,VALDEACEDERAS,MU-16,439896.6093,4480274.46,-3.7090113162994385,40.470977783203125,node/5008217020,40.4708302,-3.7091994,"(40.470830200000002, -3.7091994000000001)",,22.863220280678895,"(40.470830200000002, -3.7091994000000001)"
TETUÁN,VALDEACEDERAS,MU-16,440294.6067,4480271.456,-3.7043163776397705,40.470977783203125,node/5006925646,40.4706012,-3.704415,"(40.470601199999997, -3.704415)",,42.709109451864464,"(40.470601199999997, -3.704415)"
TETUÁN,VALDEACEDERAS,MU-16,440417.6059,4480272.455,-3.7028656005859375,40.47099685668945,node/5006925643,40.4709817,-3.7028351,"(40.470981700000003, -3.7028351000000002)",,3.0825884197239635,"(40.470981700000003, -3.7028351000000002)"
TETUÁN,VALDEACEDERAS,MU-16,440171.6075,4480275.457,-3.7057676315307617,40.471004486083984,node/51393158,40.4707934,-3.7061441,"(40.470793399999998, -3.7061440999999999)",,39.57190290679458,"(40.470793399999998, -3.7061440999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440062.6082,4480278.458,-3.7070536613464355,40.47102355957031,node/5006925652,40.4712725,-3.7074499,"(40.471272499999998, -3.7074498999999999)",,43.48256086760649,"(40.471272499999998, -3.7074498999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440235.6071,4480278.457,-3.705012798309326,40.47103500366211,node/5006925676,40.471451,-3.7052277,"(40.471451000000002, -3.7052277)",,49.71446569750781,"(40.471451000000002, -3.7052277)"
TETUÁN,ALMENARA,MU-17,440823.6033,4480274.45,-3.6980767250061035,40.47104263305664,node/3590492177,40.4710717,-3.6980417,"(40.471071700000003, -3.6980417000000001)",,4.385796387276506,"(40.471071700000003, -3.6980417000000001)"
TETUÁN,VALDEACEDERAS,MU-16,440408.606,4480278.455,-3.702972412109375,40.47105026245117,node/5006925643,40.4709817,-3.7028351,"(40.470981700000003, -3.7028351000000002)",,13.89762734221937,"(40.470981700000003, -3.7028351000000002)"
TETUÁN,VALDEACEDERAS,MU-16,440087.8681,4480281.238,-3.7067558765411377,40.47105026245117,node/5006927222,40.4713592,-3.7065701,"(40.471359200000002, -3.7065701)",,37.78673749375549,"(40.471359200000002, -3.7065701)"
TETUÁN,VALDEACEDERAS,MU-16,440417.606,4480282.455,-3.702866554260254,40.47108459472656,node/5006925643,40.4709817,-3.7028351,"(40.470981700000003, -3.7028351000000002)",,11.749983838701187,"(40.470981700000003, -3.7028351000000002)"
TETUÁN,VALDEACEDERAS,MU-16,440070.6082,4480288.458,-3.7069602012634277,40.47111511230469,node/5006925652,40.4712725,-3.7074499,"(40.471272499999998, -3.7074498999999999)",,44.98125852103324,"(40.471272499999998, -3.7074498999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440235.6072,4480289.457,-3.7050139904022217,40.471134185791016,node/5006925675,40.4714663,-3.7053591,"(40.471466300000003, -3.7053590999999999)",,47.087580473850885,"(40.471466300000003, -3.7053590999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440089.6081,4480291.458,-3.7067363262176514,40.47114181518555,node/5006927222,40.4713592,-3.7065701,"(40.471359200000002, -3.7065701)",,27.972167215006532,"(40.471359200000002, -3.7065701)"
TETUÁN,VALDEACEDERAS,MU-16,439776.6101,4480294.462,-3.7104287147521973,40.47114562988281,node/5008217010,40.4709384,-3.7101643,"(40.470938400000001, -3.7101643000000002)",,32.122110463865766,"(40.470938400000001, -3.7101643000000002)"
TETUÁN,VALDEACEDERAS,MU-16,440291.6068,4480290.456,-3.7043535709381104,40.47114944458008,node/5006925683,40.4715153,-3.7045021,"(40.4715153, -3.7045021)",,42.58921024338734,"(40.4715153, -3.7045021)"
TETUÁN,VALDEACEDERAS,MU-16,440169.6076,4480292.457,-3.7057929039001465,40.47115707397461,node/5006925669,40.4714082,-3.7061289,"(40.471408199999999, -3.7061288999999999)",,39.85518746803391,"(40.471408199999999, -3.7061288999999999)"
TETUÁN,ALMENARA,MU-17,440848.9933,4480290.79,-3.6977787017822266,40.47119140625,node/3590492177,40.4710717,-3.6980417,"(40.471071700000003, -3.6980417000000001)",,25.932222041967204,"(40.471071700000003, -3.6980417000000001)"
TETUÁN,VALDEACEDERAS,MU-16,440064.6083,4480299.459,-3.7070319652557373,40.471214294433594,node/5006925652,40.4712725,-3.7074499,"(40.471272499999998, -3.7074498999999999)",,35.95058219827463,"(40.471272499999998, -3.7074498999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440234.6072,4480298.457,-3.705026626586914,40.47121810913086,node/5006925675,40.4714663,-3.7053591,"(40.471466300000003, -3.7053590999999999)",,39.41376035976961,"(40.471466300000003, -3.7053590999999999)"
TETUÁN,VALDEACEDERAS,MU-16,439947.5291,4480304.73,-3.708413600921631,40.47125244140625,node/5006925661,40.4711297,-3.7079649,"(40.471129699999999, -3.7079648999999999)",,40.34606679384929,"(40.471129699999999, -3.7079648999999999)"
TETUÁN,ALMENARA,MU-17,440797.6036,4480298.45,-3.698385715484619,40.471256256103516,node/3590492177,40.4710717,-3.6980417,"(40.471071700000003, -3.6980417000000001)",,35.61843542452208,"(40.471071700000003, -3.6980417000000001)"
TETUÁN,VALDEACEDERAS,MU-17,440158.6077,4480305.458,-3.7059237957000732,40.471275329589844,node/5006925669,40.4714082,-3.7061289,"(40.471408199999999, -3.7061288999999999)",,22.794501126507882,"(40.471408199999999, -3.7061288999999999)"
TETUÁN,VALDEACEDERAS,BA-42,440034.3586,4480307.379,-3.7073895931243896,40.471282958984375,node/5006925652,40.4712725,-3.7074499,"(40.471272499999998, -3.7074498999999999)",,5.233689160111087,"(40.471272499999998, -3.7074498999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440083.6082,4480309.458,-3.7068088054656982,40.47130584716797,node/5006927222,40.4713592,-3.7065701,"(40.471359200000002, -3.7065701)",,21.051364104536763,"(40.471359200000002, -3.7065701)"
TETUÁN,VALDEACEDERAS,MU-16,439964.899,4480311.1,-3.708209276199341,40.471309661865234,node/5006925661,40.4711297,-3.7079649,"(40.471129699999999, -3.7079648999999999)",,28.77878590963056,"(40.471129699999999, -3.7079648999999999)"
TETUÁN,VALDEACEDERAS,MU-16,439983.5389,4480311.919,-3.707989454269409,40.47132110595703,node/5006925652,40.4712725,-3.7074499,"(40.471272499999998, -3.7074498999999999)",,45.97244791102336,"(40.471272499999998, -3.7074498999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440289.6069,4480309.456,-3.704378843307495,40.47132110595703,node/5006925682,40.4716194,-3.7044485,"(40.471619400000002, -3.7044484999999998)",,33.69756563498636,"(40.471619400000002, -3.7044484999999998)"
TETUÁN,ALMENARA,MU-17,440794.6037,4480306.45,-3.6984219551086426,40.47132873535156,node/3590492177,40.4710717,-3.6980417,"(40.471071700000003, -3.6980417000000001)",,43.04120720843161,"(40.471071700000003, -3.6980417000000001)"
FUENCARRAL-EL PARDO,PEÑAGRANDE,MU-17,438852.6262,4480322.562,-3.721330404281616,40.47133255004883,node/4416327921,40.4714371,-3.7217099,"(40.471437100000003, -3.7217099)",,34.151140750016545,"(40.471437100000003, -3.7217099)"
TETUÁN,VALDEACEDERAS,MU-16,440005.1788,4480313.829,-3.7077343463897705,40.47134017944336,node/5006925652,40.4712725,-3.7074499,"(40.471272499999998, -3.7074498999999999)",,25.21770156177989,"(40.471272499999998, -3.7074498999999999)"
TETUÁN,VALDEACEDERAS,MU-16,440275.6071,4480317.456,-3.70454478263855,40.47138977050781,node/5006925678,40.471499,-3.705048,"(40.471499000000001, -3.7050480000000001)",,44.27815826124852,"(40.471499000000001, -3.7050480000000001)"
FUENCARRAL-EL PARDO,PEÑAGRANDE,MU-17,438832.6263,4480329.562,-3.721566915512085,40.47139358520508,node/4416327921,40.4714371,-3.7217099,"(40.471437100000003, -3.7217099)",,13.030577025442975,"(40.471437100000003, -3.7217099)"
