CODIGO,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCI”N,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FB_900008,ZV,MONCLOA-ARAVACA,MADRID RIO,Z.03 · AVENIDA DE PORTUGAL,437329.8,4473652.9,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.738635301589966,40.411136627197266,node/1408587601,40.4111226,-3.7386043,"(40.411122599999999, -3.7386043)",,3.0540835000574376,"(40.411122599999999, -3.7386043)"
FB_000016,ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 4 · LA ROSALEDA Y ENTORNO,442221.31,4473614.46,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6809840202331543,40.4111442565918,node/3497669672,40.4111962,-3.6810031,"(40.411196199999999, -3.6810030999999999)",,5.999177281345028,"(40.411196199999999, -3.6810030999999999)"
FB_000017,ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 4 · LA ROSALEDA Y ENTORNO,442302.77,4473637.63,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6800262928009033,40.41135787963867,node/1436712948,40.4114025,-3.6800366,"(40.411402500000001, -3.6800366000000002)",,5.039135845895662,"(40.411402500000001, -3.6800366000000002)"
FUE_05-14_0000000073,ZV,MORATALAZ,PARQUE CALLE JOSÉ BERGAMIN JUNTO A CUÑA DE ODONELL,,445730.3257,4473621.754,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.639629602432251,40.41144561767578,node/1436712952,40.4114121,-3.639535,"(40.4114121, -3.639535)",,8.83665848522702,"(40.4114121, -3.639535)"
FUE_01-01_0000000009,ZV,CENTRO,PLAZA DE LOS CARROS,PLAZA DE LOS CARROS,439636.4322,4473693.572,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7114551067352295,40.41167449951172,node/988701242,40.4115794,-3.7113306,"(40.411579400000001, -3.7113306000000001)",,14.935416058176846,"(40.411579400000001, -3.7113306000000001)"
FB_000014,ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA FORESTAL,FUENTE Nº 1 DEL APARCAMIENTO DE RODAJOS (JUNTO A JUEGOS INFANTILES),434033.8548,4473768.337,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7774901390075684,40.411922454833984,node/1052390732,40.4119245,-3.7774319,"(40.411924499999998, -3.7774318999999998)",,4.937390959924042,"(40.411924499999998, -3.7774318999999998)"
FB_000017,ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA FORESTAL,"FUENTE DE LA TORRETA DE INCENDIOS Nº2, CARRETERA",434282.2676,4473774.033,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7745630741119385,40.41199493408203,node/3179585474,40.4119376,-3.7745309,"(40.411937600000002, -3.7745308999999998)",,6.934778769380448,"(40.411937600000002, -3.7745308999999998)"
FUE_01-01_0000000039,VP,CENTRO,"PZA. GABRIEL MIRO, Nº 8",,439337.9101,4473732.938,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7149767875671387,40.41200637817383,node/4332102973,40.412007,-3.7150266,"(40.412007000000003, -3.7150265999999998)",,4.219079554227746,"(40.412007000000003, -3.7150265999999998)"
FUE_05-14_0000000084,ZV,MORATALAZ,C/FUENTE CARRANTONA ENTRE LA CALLE CIUDAD ENCANTADA Y ACCESO A O´DONELL. ANILLO CICLISTA.,,446712.5462,4473677.688,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.628058433532715,40.41201400756836,node/1048614525,40.4120609,-3.6281796,"(40.4120609, -3.6281796000000002)",,11.510786050210774,"(40.4120609, -3.6281796000000002)"
FB_000071,ZV,MORATALAZ,CUÑA VERDE DE O'DONELL Y FUENTE CARRANTONA, ,446184.6355,4473754.611,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.634286642074585,40.41267395019531,node/3051156414,40.4126871,-3.6342143,"(40.412687099999999, -3.6342143)",,6.29860940661386,"(40.412687099999999, -3.6342143)"
